id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1598299900155858945,1598299900155858945,2022-12-01 12:56:05 UTC,2022-12-01,12:56:05,+0000,15488353,lancenet,LANCE!,,"FAVORITAS! 🇧🇷🇵🇹🇫🇷🇪🇸  Jorge Jesus elegeu as quatro seleções favoritas para ganhar a Copa do Mundo neste ano, o ex-treinador do Flamengo colocou o Brasil como candidata a taça do Mundial. Concordam com o técnico português?  #lanceCOPA #CopaDoMundoFIFA #Qatar2022  https://t.co/R0c6CrkG1W",pt,[],[],['https://pbs.twimg.com/media/Fi5NHXUWIAAnd-s.jpg'],0,0,5,"['lancecopa', 'copadomundofifa', 'qatar2022']",[],https://twitter.com/lancenet/status/1598299900155858945,False,,1,https://pbs.twimg.com/media/Fi5NHXUWIAAnd-s.jpg,,,,,,,[],,,,
1598297685760806913,1598297685760806913,2022-12-01 12:47:17 UTC,2022-12-01,12:47:17,+0000,15488353,lancenet,LANCE!,,"Viagem, futebol e Copa do Mundo: conheça o torcedor que tatuou o rosto de Richarlison  👉  https://t.co/6Hx0i5tRgm  https://t.co/UJlKCIGKYH",pt,[],['https://www.lance.com.br/fora-de-campo/viagem-futebol-e-copa-do-mundo-conheca-o-torcedor-que-tatuou-o-rosto-de-richarlison.html'],['https://pbs.twimg.com/media/Fi5LRH5XwAApUxN.jpg'],1,0,1,[],[],https://twitter.com/lancenet/status/1598297685760806913,False,,1,https://pbs.twimg.com/media/Fi5LRH5XwAApUxN.jpg,,,,,,,[],,,,
1598292473771872258,1598292473771872258,2022-12-01 12:26:35 UTC,2022-12-01,12:26:35,+0000,15488353,lancenet,LANCE!,,Trio 'brasileiro' deve ser preterido em time alternativo da Seleção na Copa  Veja &gt;&gt;  https://t.co/aWTKCYHjph  https://t.co/y1biK6hxxk,pt,[],['https://www.lance.com.br/selecao-brasileira/trio-brasileiro-deve-ser-preterido-em-time-alternativo-da-selecao-na-copa.html'],['https://pbs.twimg.com/media/Fi5Ggc1WYAMMLQc.jpg'],1,0,7,[],[],https://twitter.com/lancenet/status/1598292473771872258,False,,1,https://pbs.twimg.com/media/Fi5Ggc1WYAMMLQc.jpg,,,,,,,[],,,,
1598290591229837313,1598290591229837313,2022-12-01 12:19:06 UTC,2022-12-01,12:19:06,+0000,15488353,lancenet,LANCE!,,PRIORIDADES 🇵🇹  'Medo' de cartões deve ditar mudanças na escalação de Portugal para jogo contra a Coreia na Copa  📲 https://t.co/Wugt0mXUA2  📷EFE / EPA / Mohamed Messara  https://t.co/DI2cqdWDXt,pt,[],['https://www.lance.com.br/copa-do-mundo/portugal/medo-de-cartoes-deve-ditar-mudancas-na-escalacao-de-portugal-para-jogo-contra-a-coreia-na-copa.html'],['https://pbs.twimg.com/media/Fi5E0ERWIAAE8O6.png'],0,0,3,[],[],https://twitter.com/lancenet/status/1598290591229837313,False,,1,https://pbs.twimg.com/media/Fi5E0ERWIAAE8O6.png,,,,,,,[],,,,
1598289733826015232,1598289733826015232,2022-12-01 12:15:41 UTC,2022-12-01,12:15:41,+0000,15488353,lancenet,LANCE!,,Entenda a confusão na seleção da Bélgica na Copa do Mundo  📲 https://t.co/ABN0fEcJb3  📷JACK GUEZ / AFP  https://t.co/9wERWZEz1l,pt,[],['https://www.lance.com.br/copa-do-mundo/belgica/entenda-a-confusao-na-selecao-da-belgica-na-copa-do-mundo.html'],['https://pbs.twimg.com/media/Fi5D8wQWIAIu4gy.png'],0,1,3,[],[],https://twitter.com/lancenet/status/1598289733826015232,False,,1,https://pbs.twimg.com/media/Fi5D8wQWIAIu4gy.png,,,,,,,[],,,,
1598289419039305730,1598289419039305730,2022-12-01 12:14:26 UTC,2022-12-01,12:14:26,+0000,15488353,lancenet,LANCE!,,Possível encontro de Brasil e Argentina na semifinal da Copa do Mundo agita a web  📲 https://t.co/sxKfwMaoqD  📷Lucas Figueiredo/CBF e Giuseppe CACACE/AFP  https://t.co/Cm7sewIjRz,pt,[],['https://www.lance.com.br/fora-de-campo/possivel-encontro-de-brasil-e-argentina-na-semifinal-da-copa-do-mundo-agita-a-web.html'],['https://pbs.twimg.com/media/Fi5Dm6sWQAEoOWJ.png'],0,5,25,[],[],https://twitter.com/lancenet/status/1598289419039305730,False,,1,https://pbs.twimg.com/media/Fi5Dm6sWQAEoOWJ.png,,,,,,,[],,,,
1598280855775956992,1598280855775956992,2022-12-01 11:40:25 UTC,2022-12-01,11:40:25,+0000,15488353,lancenet,LANCE!,,O @ViniiBernardo cravou que a Austrália vai eliminar a Argentina nas oitavas de final da Copa! 🇦🇺🦘⚽  Alguém aí concorda com ele? 🗣️  #australia #argentina #copadomundo #qatar2022 #mostratuaforça  https://t.co/OfeP3ZCklN,pt,"[{'screen_name': 'viniibernardo', 'name': 'vini bernardo', 'id': '99365675'}]",[],[],1,0,3,"['australia', 'argentina', 'copadomundo', 'qatar2022', 'mostratuaforça']",[],https://twitter.com/lancenet/status/1598280855775956992,False,,1,https://pbs.twimg.com/media/Fi473GDVQAAxx6b.jpg,,,,,,,[],,,,
1598280007725776899,1598280007725776899,2022-12-01 11:37:03 UTC,2022-12-01,11:37:03,+0000,15488353,lancenet,LANCE!,,'Medo' de cartões deve ditar mudanças na escalação de Portugal para jogo contra a Coreia na Copa  https://t.co/zYw9WtHQ5l,pt,[],['https://www.lance.com.br/copa-do-mundo/portugal/medo-de-cartoes-deve-ditar-mudancas-na-escalacao-de-portugal-para-jogo-contra-a-coreia-na-copa.html?utm_source=dlvr.it&utm_medium=twitter'],[],0,0,1,[],[],https://twitter.com/lancenet/status/1598280007725776899,False,,0,,,,,,,,[],,,,
1598278936709898243,1598278936709898243,2022-12-01 11:32:47 UTC,2022-12-01,11:32:47,+0000,15488353,lancenet,LANCE!,,'ORGULHO'🇹🇳  Técnico da Tunísia enaltece vitória sobre a França na Copa do Mundo  📲 https://t.co/f2pDwypTTg  📷Miguel MEDINA / AFP  https://t.co/a263lXQeRx,pt,[],['https://www.lance.com.br/copa-do-mundo/tunisia/tecnico-da-tunisia-enaltece-vitoria-sobre-a-franca-na-copa-do-mundo-orgulho.html'],['https://pbs.twimg.com/media/Fi46N4vWYAEyLVs.png'],0,0,7,[],[],https://twitter.com/lancenet/status/1598278936709898243,False,,1,https://pbs.twimg.com/media/Fi46N4vWYAEyLVs.png,,,,,,,[],,,,
1598271380650610688,1598271380650610688,2022-12-01 11:02:46 UTC,2022-12-01,11:02:46,+0000,15488353,lancenet,LANCE!,,PALESTINA NA COPA?🇵🇸  Manifestações chamam a atenção no Mundial do Qatar  📲 https://t.co/MO6kWAvlPe  📷EFE / EPA / Tolga Bozoglu  https://t.co/KKXJhzJToo,pt,[],['https://www.lance.com.br/copa-do-mundo/palestina-na-copa-manifestacoes-ganham-espaco-nas-arquibancadas-do-qatar.html'],['https://pbs.twimg.com/media/Fi4zI7mX0AIbYV6.png'],0,1,3,[],[],https://twitter.com/lancenet/status/1598271380650610688,False,,1,https://pbs.twimg.com/media/Fi4zI7mX0AIbYV6.png,,,,,,,[],,,,
