,user_id,username,tweet,link,palavra_chave,bag_of_words,classificacao_MaxentClassifier,classificacao_SklearnClassifier,classificacao_NaiveBayesClassifier
0,10842792,geglobo,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/pd5udCzyey,https://twitter.com/geglobo/status/1598742544690679821,catar,"{'CopadasCamisas': 1, 'Qual': 1, 'camisa': 1, 'bonita': 1, 'Copa': 1, 'Vote': 1, 'Vamos': 1, 'definir': 1, 'melhor': 1, 'uniforme': 1, 'vai': 1, 'entrar': 1, 'campo': 1, 'Catar': 1, 'genacopa': 1, './pd5udCzyey': 1}",neu,neu,neu
1,10842792,geglobo,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/1zNg1YeFoa,https://twitter.com/geglobo/status/1598738771108765696,catar,"{'CopadasCamisas': 1, 'Qual': 1, 'camisa': 1, 'bonita': 1, 'Copa': 1, 'Vote': 1, 'Vamos': 1, 'definir': 1, 'melhor': 1, 'uniforme': 1, 'vai': 1, 'entrar': 1, 'campo': 1, 'Catar': 1, 'genacopa': 1, './1zNg1YeFoa': 1}",neu,neu,neu
2,10842792,geglobo,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/6wHmjlFBfc,https://twitter.com/geglobo/status/1598692584158859265,catar,"{'CopadasCamisas': 1, 'Qual': 1, 'camisa': 1, 'bonita': 1, 'Copa': 1, 'Vote': 1, 'Vamos': 1, 'definir': 1, 'melhor': 1, 'uniforme': 1, 'vai': 1, 'entrar': 1, 'campo': 1, 'Catar': 1, 'genacopa': 1, './6wHmjlFBfc': 1}",neu,neu,neu
3,10842792,geglobo,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/fZq1SnQff6,https://twitter.com/geglobo/status/1598692319640829959,catar,"{'CopadasCamisas': 1, 'Qual': 1, 'camisa': 1, 'bonita': 1, 'Copa': 1, 'Vote': 1, 'Vamos': 1, 'definir': 1, 'melhor': 1, 'uniforme': 1, 'vai': 1, 'entrar': 1, 'campo': 1, 'Catar': 1, 'genacopa': 1, './fZq1SnQff6': 1}",neu,neu,neu
4,10842792,geglobo,👋🚌  Ônibus da Alemanha 🇩🇪 a caminho do aeroporto de Doha para deixar o Catar 🇶🇦 após a eliminação na Copa do Mundo #genacopa  https://t.co/HeD8hUmrtS,https://twitter.com/geglobo/status/1598660543031566337,catar,"{'👋🚌': 1, 'Ônibus': 1, 'Alemanha': 1, '🇩🇪': 1, 'caminho': 1, 'aeroporto': 1, 'Doha': 1, 'deixar': 1, 'Catar': 1, '🇶🇦': 1, 'após': 1, 'eliminação': 1, 'Copa': 1, 'Mundo': 1, 'genacopa': 1, './HeD8hUmrtS': 1}",neg,neg,neg
5,10842792,geglobo,"📹: O Seleção Catar vai ao ar todos os dias às 20h, no @sportv 🤙",https://twitter.com/geglobo/status/1598475590776004608,catar,"{'📹': 1, 'O': 1, 'Seleção': 1, 'Catar': 1, 'vai': 1, 'ar': 1, 'todos': 1, 'dias': 1, '20h': 1, 'sportv': 1, '🤙': 1}",neu,neu,neu
6,10842792,geglobo,"''Nunca vi um lateral jogar do jeito que o Daniel joga'', Filipe Luís sobre Daniel Alves. Concorda? #genacopa   📹: O Seleção Catar vai ao ar todos os dias às 20h, no @sportv  https://t.co/ISZSFrleFp",https://twitter.com/geglobo/status/1598474533165416448,catar,"{""''"": 2, 'Nunca': 1, 'vi': 1, 'lateral': 1, 'jogar': 1, 'jeito': 1, 'Daniel': 2, 'joga': 1, 'Filipe': 1, 'Luís': 1, 'sobre': 1, 'Alves': 1, 'Concorda': 1, 'genacopa': 1, '📹': 1, 'O': 1, 'Seleção': 1, 'Catar': 1, 'vai': 1, 'ar': 1, 'todos': 1, 'dias': 1, '20h': 1, 'sportv': 1, './ISZSFrleFp': 1}",pos,pos,neg
7,10842792,geglobo,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/leGUaXZawB,https://twitter.com/geglobo/status/1598391473233219586,catar,"{'CopadasCamisas': 1, 'Qual': 1, 'camisa': 1, 'bonita': 1, 'Copa': 1, 'Vote': 1, 'Vamos': 1, 'definir': 1, 'melhor': 1, 'uniforme': 1, 'vai': 1, 'entrar': 1, 'campo': 1, 'Catar': 1, 'genacopa': 1, './leGUaXZawB': 1}",neu,neu,neu
8,10842792,geglobo,#CopadasCamisas   Qual a camisa mais bonita da Copa?   Vote! Vamos definir qual é o melhor uniforme que vai entrar em campo no Catar!  #genacopa  https://t.co/eBostzCq3a,https://twitter.com/geglobo/status/1598391303225724929,catar,"{'CopadasCamisas': 1, 'Qual': 1, 'camisa': 1, 'bonita': 1, 'Copa': 1, 'Vote': 1, 'Vamos': 1, 'definir': 1, 'melhor': 1, 'uniforme': 1, 'vai': 1, 'entrar': 1, 'campo': 1, 'Catar': 1, 'genacopa': 1, './eBostzCq3a': 1}",neu,neu,neu
9,10842792,geglobo,"🇦🇷 Torcida pesadona da Argentina no Catar  Batistuta, Sorín, Cambiasso, Crespo e Zanetti #genacopa  https://t.co/aMRaLF3bCV",https://twitter.com/geglobo/status/1598368166857609220,catar,"{'🇦🇷': 1, 'Torcida': 1, 'pesadona': 1, 'Argentina': 1, 'Catar': 1, 'Batistuta': 1, 'Sorín': 1, 'Cambiasso': 1, 'Crespo': 1, 'Zanetti': 1, 'genacopa': 1, './aMRaLF3bCV': 1}",neg,neu,neg
